Desired Title,Link,Year,Mo
2018_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/bde2b0f8f957e6931368a0de3d83c98a2.doc,2018,3
2018_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/cc0cc83913a7ec8d82c5c6406051ae9239.pdf,2018,4
2018_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/71c96a6788dc3b9effef83949f4b83eb16.pdf,2018,5
2018_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/84938d05b20f9e1f6b80db50ad0e64dc33.pdf,2018,6
2018_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/8726d977f53e0d07cae980a2e70761c454.pdf,2018,7
2018_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/1ad61711a3ebdb2238d7c097b40c047f49.pdf,2018,8
2018_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/e72d7eed1f49f9422ae720804ea0191c6.pdf,2018,9
2018_10_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/25640473ac585997901d5e1f685856ce67.pdf,2018,10
2018_11_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/b6344685a405d59be58c291ac66621f487.pdf,2018,11
2018_12_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/7ee4d88050f36b94613502be298a9d4f52.pdf,2018,12
2019_1_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/7106b9cb07190b0cbd04261c04b69a3537.pdf,2019,1
2019_2_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/1d22de29b18e32454b80726ba906d6e642.pdf,2019,2
2019_3_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/ac35d408d87106b91e460a5f2ed24de98.pdf,2019,3
2019_4_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/1702f6860385e505a32483c20f5bcdea13.pdf,2019,4
2019_5_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/d0a8f9a981a65d6c03936ed8459ea96674.pdf,2019,5
2019_6_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/4ad5784c2ddb7088a250f954637b680512.pdf,2019,6
2019_7_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/a36841e309bff0d475a3b7984e177a8b27.pdf,2019,7
2019_8_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/9d75d52c28e8da75c688e630a9d2c35c58.pdf,2019,8
2019_9_0_JOB_Minutes,https://alleghenycontroller.com/wp-content/uploads/2020/03/4430be145a51d414b0b259baae6985eb25.pdf,2019,9
